"4G_RRC_SETUP_FAILURES_OVERALL","4G_4G2G_OUT_HO_FAILURES_SRVCC","4G_4G2G_OUT_HO_SUCC_RATE_SRVCC","4G_4G2G_OUT_HO_SUCC_SRVCC","4G_4G3G_OUT_HO_FAILURES_SRVCC","4G_4G3G_OUT_HO_SUCC_RATE_SRVCC","4G_4G3G_OUT_HO_SUCC_SRVCC","4G_4G4G_OUT_HO_FAILURES_OVERALL","4G_4G4G_OUT_HO_FAILURES_VOICE","4G_4G4G_OUT_HO_SUCC_OVERALL","4G_4G4G_OUT_HO_SUCC_RATE_OVERALL","4G_4G4G_OUT_HO_SUCC_RATE_VOICE","LTE_Avg_Cell_Throughput_DL_Mbps_LTE_1","LTE_Traffic_Volume_DL_GBytes_LTE_1","LTE_Traffic_Volume_UL_GBytes_LTE_1","4G_TRAFFIC_VOLUME_DL_OVERALL","4G_TRAFFIC_VOLUME_OVERALL","4G_TRAFFIC_VOLUME_UL_OVERALL","4G_HO_SRVCC_SUCCESSES","4G_BPCR_OVERALL_RRC_SUCC_MV_LN","4G_BPCR_OVERALL_eRAB_SUCC_MV_LN","4G_BPCR_OVERALL_eRAB_ATT_MV_LN","4G_OUT_HO_SRVCC_FAILURES_OVERALL","4G_OUT_HO_SUCC_RATE_SRVCC_OVERALL","4G_BPCR_DATA","4G_TRAFFIC_VOLUME_DL_DATA_NOK","4G_TRAFFIC_VOLUME_UL_DATA_NOK","4G_TRAFFIC_VOLUME_VOICE_NOK","4G_DL_MAX_THROUGHPUT_NOK","4G_HO_ATTEMPTS","4G_HO_ATTEMPTS_NOK","4G_HO_FAILURES","4G_HO_SRVCC_ATTEMPTS","4G_HO_SRVCC_ATTEMPTS_NOK","4G_RRC_SETUP_ATTEMPTS_OVERALL","4G_RRC_SETUP_SUCCESSES_OVERALL","4G_ERAB_SETUP_ATTEMPTS_DATA","4G_ERAB_SETUP_ATTEMPTS_VOICE","4G_ERAB_SETUP_SUCCESSES_DATA","4G_ERAB_SETUP_SUCCESSES_VOICE","4G_BPCR_OVERALL_NOK","4G_ERAB_SETUP_ATTEMPTS_OVERALL","4G_ERAB_SETUP_FAILURES_DATA","4G_ERAB_SETUP_FAILURES_OVERALL","4G_ERAB_SETUP_FAILURES_VOICE","4G_ERAB_SETUP_SUCCESS_RATE_DATA","4G_ERAB_SETUP_SUCCESS_RATE_OVERALL","4G_ERAB_SETUP_SUCCESS_RATE_VOICE","4G_ERAB_SETUP_SUCCESSES_OVERALL","4G_IMS_SIG_ATTEMPTS","4G_IMS_SIG_FAILURES","4G_IMS_SIG_SUCCESS_RATE","4G_IMS_SIG_SUCCESSES","4G_MIMO_SPATIAL_MUX_SHARE","4G_RRC_SETUP_SUCCESS_RATE_OVERALL","4G_S1_SETUP_ATTEMPTS_OVERALL","4G_S1_SETUP_FAILURES_OVERALL","4G_S1_SETUP_SUCC_RATE_OVERALL","4G_S1_SETUP_SUCCESSES_OVERALL","OUTPUT"
"0","0","0","0","0","0","0","0","0","194","100,000","100,000","12,129","54,589","0.5611 ","5","5.65","1","0","7614","11804","11804","0","0","0.000","5.08","0.56","1.23 ","141.1","194","194","0","0","0","7614","7614","6817","11","6817","11","0.000","11804","0","0","0","100,000","100,000","100,000","11804","4976","0","100,000","4976","62,740","100,000","7614","0","100,000","7614","0"
"1","0","0","0","0","0","0","0","0","109","100,000","0","12,554","56,502","0.2867 ","5","5.55","0","0","7411","11309","11309","0","0","0.010","5.26","0.29","1.54 ","51.5","109","109","0","0","0","7412","7411","6144","7","6144","7","0.010","11309","0","0","0","100,000","100,000","100,000","11309","5158","0","100,000","5158","58,380","99,990","7411","0","100,000","7411","0"
"0","0","0","0","0","0","0","0","0","333","100,000","100,000","4,379","19,698","0.0912 ","2","1.93","0","0","6605","9856","9856","0","0","0.000","1.83","0.09","0.33 ","100.3","333","333","0","0","0","6605","6605","5626","35","5626","35","0.000","9856","0","0","0","100,000","100,000","100,000","9856","4195","0","100,000","4195","32,400","100,000","6605","0","100,000","6605","0"
"0","0","0","0","0","0","0","0","0","94","100,000","100,000","11,514","51,821","0.3629 ","5","5.19","0","0","6155","9789","9789","0","0","0.000","4.83","0.36","0.20 ","107.2","94","94","0","0","0","6155","6155","5113","6","5113","6","0.000","9789","0","0","0","100,000","100,000","100,000","9789","4670","0","100,000","4670","42,660","100,000","6155","0","100,000","6155","0"
"-1","0","0","0","0","0","0","0","0","225","100,000","100,000","11,750","52,882","15,620","5","6.49","2","0","6030","9843","9843","0","0","-0.020","4.93","1.56","0.25 ","96.7","225","225","0","0","0","6029","6030","5609","5","5609","5","-0.020","9843","0","0","0","100,000","100,000","100,000","9843","4229","0","100,000","4229","47,560","100,020","6030","0","100,000","6030","0"
"0","0","0","0","0","0","0","0","0","231","100,000","100,000","6,725","30,267","0.2040 ","3","3.02","0","0","5918","8641","8641","0","0","0.000","2.82","0.2","0.88 ","69.2","231","231","0","0","0","5918","5918","4874","6","4874","6","0.000","8641","0","0","0","100,000","100,000","100,000","8641","3761","0","100,000","3761","20,580","100,000","5918","0","100,000","5918","0"
"0","0","0","0","0","0","0","0","0","112","100,000","100,000","3,860","17,375","0.2624 ","2","1.88","0","0","5811","9336","9336","0","0","0.000","1.62","0.26","1.53 ","64.7","112","112","0","0","0","5811","5811","5081","8","5081","8","0.000","9336","0","0","0","100,000","100,000","100,000","9336","4247","0","100,000","4247","34,350","100,000","5811","0","100,000","5811","0"
"0","0","0","0","0","0","0","0","0","154","100,000","100,000","7,467","33,608","0.1781 ","3","3.31","0","0","5539","6106","6106","0","0","0.000","3.13","0.18","0.24 ","90.7","154","154","0","0","0","5539","5539","3386","8","3386","8","0.000","6106","0","0","0","100,000","100,000","100,000","6106","2712","0","100,000","2712","48,950","100,000","5539","0","100,000","5539","0"
"0","0","0","0","0","0","0","0","0","145","100,000","100,000","9,549","42,977","0.2245 ","4","4.23","0","0","5518","8837","8837","0","0","0.000","4","0.22","4.61 ","100.2","145","145","0","0","0","5518","5518","4662","31","4662","31","0.000","8837","0","0","0","100,000","100,000","100,000","8837","4144","0","100,000","4144","37,390","100,000","5518","0","100,000","5518","0"
"1","0","0","0","0","100,000","1","0","0","138","100,000","100,000","3,836","17,187","0.1002 ","2","1.7","0","1","5487","7527","7527","0","100,000","0.020","1.6","0.1","0.33 ","48.4","138","138","0","1","1","5488","5487","4163","2","4163","2","0.020","7527","0","0","0","100,000","100,000","100,000","7527","3362","0","100,000","3362","46,200","99,980","5487","0","100,000","5487","0"
