"4G_RRC_SETUP_FAILURES_OVERALL","4G_4G2G_OUT_HO_FAILURES_SRVCC","4G_4G2G_OUT_HO_SUCC_RATE_SRVCC","4G_4G2G_OUT_HO_SUCC_SRVCC","4G_4G3G_OUT_HO_FAILURES_SRVCC","4G_4G3G_OUT_HO_SUCC_RATE_SRVCC","4G_4G3G_OUT_HO_SUCC_SRVCC","4G_4G4G_OUT_HO_FAILURES_OVERALL","4G_4G4G_OUT_HO_FAILURES_VOICE","4G_4G4G_OUT_HO_SUCC_OVERALL","4G_4G4G_OUT_HO_SUCC_RATE_OVERALL","4G_4G4G_OUT_HO_SUCC_RATE_VOICE","LTE_Avg_Cell_Throughput_DL_Mbps_LTE_1","LTE_Traffic_Volume_DL_GBytes_LTE_1","LTE_Traffic_Volume_UL_GBytes_LTE_1","4G_TRAFFIC_VOLUME_DL_OVERALL","4G_TRAFFIC_VOLUME_OVERALL","4G_TRAFFIC_VOLUME_UL_OVERALL","4G_HO_SRVCC_SUCCESSES","4G_BPCR_OVERALL_RRC_SUCC_MV_LN","4G_BPCR_OVERALL_eRAB_SUCC_MV_LN","4G_BPCR_OVERALL_eRAB_ATT_MV_LN","4G_OUT_HO_SRVCC_FAILURES_OVERALL","4G_OUT_HO_SUCC_RATE_SRVCC_OVERALL","4G_BPCR_DATA","4G_TRAFFIC_VOLUME_DL_DATA_NOK","4G_TRAFFIC_VOLUME_UL_DATA_NOK","4G_TRAFFIC_VOLUME_VOICE_NOK","4G_DL_MAX_THROUGHPUT_NOK","4G_HO_ATTEMPTS","4G_HO_ATTEMPTS_NOK","4G_HO_FAILURES","4G_HO_SRVCC_ATTEMPTS","4G_HO_SRVCC_ATTEMPTS_NOK","4G_RRC_SETUP_ATTEMPTS_OVERALL","4G_RRC_SETUP_SUCCESSES_OVERALL","4G_ERAB_SETUP_ATTEMPTS_DATA","4G_ERAB_SETUP_ATTEMPTS_VOICE","4G_ERAB_SETUP_SUCCESSES_DATA","4G_ERAB_SETUP_SUCCESSES_VOICE","4G_BPCR_OVERALL_NOK","4G_ERAB_SETUP_ATTEMPTS_OVERALL","4G_ERAB_SETUP_FAILURES_DATA","4G_ERAB_SETUP_FAILURES_OVERALL","4G_ERAB_SETUP_FAILURES_VOICE","4G_ERAB_SETUP_SUCCESS_RATE_DATA","4G_ERAB_SETUP_SUCCESS_RATE_OVERALL","4G_ERAB_SETUP_SUCCESS_RATE_VOICE","4G_ERAB_SETUP_SUCCESSES_OVERALL","4G_IMS_SIG_ATTEMPTS","4G_IMS_SIG_FAILURES","4G_IMS_SIG_SUCCESS_RATE","4G_IMS_SIG_SUCCESSES","4G_MIMO_SPATIAL_MUX_SHARE","4G_RRC_SETUP_SUCCESS_RATE_OVERALL","4G_S1_SETUP_ATTEMPTS_OVERALL","4G_S1_SETUP_FAILURES_OVERALL","4G_S1_SETUP_SUCC_RATE_OVERALL","4G_S1_SETUP_SUCCESSES_OVERALL","OUTPUT"
"1","0","0","0","0","0","0","0","0","25","100","0","0.977 ","0.4060 ","0.0612 ","0","0","0","0","1060","1764","1766","0","0","0","0","0","0.47 ","27","25","25","0","0","0","1061","1060","949","5","948","5","210","1766","1","2","0","99","99","100","1764","812","1","99","811","32230","99","1060","0","100","1060","1"
"1","0","0","0","0","0","0","0","0","14","100","100","0.953 ","0.2032 ","0.0080 ","0","0","0","0","1082","1678","1678","0","0","0","0","0","0.00 ","45","14","14","0","0","0","1083","1082","952","0","952","0","90","1678","0","0","0","100","100","0","1678","726","0","100","726","28570","99","1082","0","100","1082","0"
"0","1","0","0","0","0","0","0","0","122","100","100","0.948 ","0.3661 ","0.0232 ","0","0","0","0","1451","1981","1981","1","0","0","0","0","0.02 ","50","122","122","0","1","1","1451","1451","1113","5","1113","5","0","1981","0","0","0","100","100","100","1981","863","0","100","863","12390","100","1451","0","100","1451","1"
"0","0","0","0","0","0","0","0","0","85","100","100","0.923 ","0.1643 ","0.3732 ","0","1","0","0","573","730","730","0","0","0","0","0","0.13 ","25","85","85","0","0","0","573","573","453","1","453","1","0","730","0","0","0","100","100","100","730","276","0","100","276","20100","100","573","0","100","573","0"
"0","0","0","0","0","0","0","0","0","65","100","100","0.903 ","0.2394 ","0.0104 ","0","0","0","0","1278","1805","1805","0","0","0","0","0","0.01 ","79","65","65","0","0","0","1278","1278","1156","0","1156","0","0","1805","0","0","0","100","100","0","1805","649","0","100","649","34950","100","1278","0","100","1278","0"
"0","0","0","0","0","0","0","0","0","12","100","100","0.881 ","0.2335 ","0.0159 ","0","0","0","0","500","728","728","0","0","0","0","0","0.36 ","30","12","12","0","0","0","500","500","429","6","429","6","0","728","0","0","0","100","100","100","728","293","0","100","293","39470","100","500","0","100","500","0"
"0","0","0","0","0","0","0","0","0","40","100","100","0.874 ","0.3105 ","0.0294 ","0","0","0","0","838","1394","1394","0","0","0","0","0","0.38 ","95","40","40","0","0","0","838","838","741","0","741","0","0","1394","0","0","0","100","100","0","1394","653","0","100","653","44960","100","838","0","100","838","0"
"0","0","0","0","0","0","0","0","0","130","100","100","0.867 ","0.2595 ","0.0235 ","0","0","0","0","1727","1908","1908","0","0","0","0","0","0.06 ","44","130","130","0","0","0","1727","1727","1715","2","1715","2","0","1908","0","0","0","100","100","100","1908","191","0","100","191","41150","100","1727","0","100","1727","0"
"0","0","0","0","0","0","0","1","0","59","98","100","0.860 ","0.3064 ","0.1602 ","0","0","0","0","524","809","809","0","0","0","0","0","0.38 ","34","60","60","1","0","0","524","524","426","0","426","0","0","809","0","0","0","100","100","0","809","383","0","100","383","38270","100","524","0","100","524","1"
"0","0","0","0","0","0","0","0","0","49","100","100","0.826 ","0.2437 ","0.0129 ","0","0","0","0","1195","1841","1841","0","0","0","0","0","0.44 ","50","49","49","0","0","0","1195","1195","1025","2","1025","2","0","1841","0","0","0","100","100","100","1841","814","0","100","814","22360","100","1195","0","100","1195","0"
